"open","high","low","close","volume","timestamp","pair","timeframe"
7901.00800231,9181.007606,7752.11746251,8558.81386029,364.51124742,1578528000000,"BTC/USDC","1M"
10130.91,10500.89,8015.11,8028.37,151.60553104,1581120000000,"BTC/USDC","1M"
8082.51,8146.12,4100,7210.08,652.974982,1583712000000,"BTC/USDC","1M"
7199.13,10000,6530.11,10000,171.392554,1586304000000,"BTC/USDC","1M"
10054.41,10391.06,8144,9681.22,230.978607,1588896000000,"BTC/USDC","1M"
9678.31,9999.17,8835.27,9328.55,274.596531,1591488000000,"BTC/USDC","1M"
9342.73,12107.75,9058.01,11673.39,373.377631,1594080000000,"BTC/USDC","1M"
11745.11,12447.91,9998.26,10491.66,575.293831,1596672000000,"BTC/USDC","1M"
10502.93,11134.45,9870.35,10668.37,526.784982,1599264000000,"BTC/USDC","1M"
10696.91,14072.19,10523.42,13979.87,483.286586,1601856000000,"BTC/USDC","1M"
13996.22,19913.37,13559.47,19573.69,934.197972,1604448000000,"BTC/USDC","1M"
19550.97,23726.74,17678.55,22705.06,168.450386,1607040000000,"BTC/USDC","1M"
