"open","high","low","close","volume","timestamp","pair","timeframe"
134.39283655,134.39283655,134.39283655,134.39283655,0,1578614400000,"ETH/USDC","1M"
134.39283655,134.39283655,134.39283655,134.39283655,0,1581292800000,"ETH/USDC","1M"
134.39283655,134.39283655,134.39283655,134.39283655,0,1583971200000,"ETH/USDC","1M"
134.39283655,134.39283655,134.39283655,134.39283655,0,1586649600000,"ETH/USDC","1M"
207.21,252.65,193.69,242.18,2344.875717,1588896000000,"ETH/USDC","1M"
242.33,250.19,214.65,241.37,6724.658233,1591488000000,"ETH/USDC","1M"
239.71,411.28,231.76,398.65,5621.316528,1594080000000,"ETH/USDC","1M"
401.23,483.79,355.1,387.66,4707.351538,1596672000000,"ETH/USDC","1M"
385.78,393.51,311.37,352.97,3785.327301,1599264000000,"ETH/USDC","1M"
355.55,418.98,336.16,386.87,3007.438319,1601856000000,"ETH/USDC","1M"
386.98,648,378.11,618.68,10710.633134,1604448000000,"ETH/USDC","1M"
618.53,668.28,529.2,666.5,3064.624955,1607040000000,"ETH/USDC","1M"
